Old taxserial code,taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,species,Taxonomic_Level,Report_Group,Observation_Type,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0
,161194,California Moray,Reef Fish,Home,,3,1,17,Ca Moray,Gymnothorax mordax,species,Other Reef Fish,fish,0,40,SCA-Baja,Rocky,Common,152,152,California moray,Gymnothorax mordax
,170597,Senorita,Reef Fish,Home,25,3,1,20,Senorita,Oxyjulis californica,species,Wrasse,fish,0,101,NCA-Baja,Rocky,Common,25,25,Senorita,Oxyjulis californica
,170511,Rock Wrasse,Reef Fish,Home,,3,1,21,Rock Wrasse,Halichoeres semicinctus,species,Wrasse,fish,0,24,CCA-Baja,Rocky,Common,33,38,Rock wrasse,Halichoeres semicinctus
,170744,California Sheephead,Reef Fish,Home,24,3,1,22,Ca Sheephead,Semicossyphus pulcher,species,Wrasse,fish,0,88,CCA-Baja,Rocky,Common,91,91,California sheephead,Semicossyphus pulcher
,169754,Pile Perch,Perch,Home,26,4,1,1,Pile Perch,Rhacochilus vacca,species,Perch,fish,0,46,AK-Baja,Rocky,Common,44,44,Pile perch,Rhacochilus vacca
,169755,Rubberlip Seaperch,Perch,Home,,4,1,2,Rubberlip Seaperch,Rhacochilus toxotes,species,Perch,fish,0,46,NCA-Baja,Rocky,Common,47,47,Rubberlip surfperch,Rhacochilus toxotes
,169744,Striped Seaperch,Perch,Home,,4,1,3,Striped Seaperch,Embiotoca lateralis,species,Perch,fish,0,21,AK-Baja,Hard/Soft Mixed,Common,38,38,Striped surfperch,Embiotoca lateralis
,169761,Rainbow Seaperch,Perch,Home,,4,1,4,Rainbow Seaperch,Hypsurus caryi,species,Perch,fish,0,40,NCA-Baja,Hard/Soft Mixed,Common,30,30,Rainbow surfperch,Hypsurus caryi
,169769,Pink Seaperch,Perch,Home,27,4,1,5,Pink Seaperch,Zalembius rosaceus,species,Perch,fish,0,229,NCA-Baja,See specific species,Uncommon,20,20,Pink surfperch,Zalembius rosaceus
,169737,Kelp Perch,Perch,Home,,4,1,6,Kelp Perch,Brachyistius frenatus,species,Perch,fish,0,31,Can-SCA,Hard/Soft Mixed,Common,22,22,Kelp surfperch,Brachyistius frenatus
,169739,Shiner Perch,Perch,Home,,4,1,7,Shiner Perch,Cymatogaster aggregata,species,Perch,fish,0,146,AK-Baja,Rocky,Common,11,20,Shiner surfperch,Cymatogaster aggregata
,169751,White Seaperch,Perch,Home,,4,1,8,White Seaperch,Phanerodon furcatus,species,Perch,fish,0,43,Can-Baja,Hard/Soft Mixed,Common,31,32,White surfperch,Phanerodon furcatus
,169747,Walleye Surfperch,Perch,Home,,4,1,9,Walleye Surfperch,Hyperprosopon argenteum,species,Perch,fish,0,20,Can-Baja,Hard/Soft Mixed,Common,30,30,Walleye surfperch,Hyperprosopon argenteum
,169745,Black Perch,Perch,Home,,4,1,10,Black Perch,Embiotoca jacksoni,species,Perch,fish,0,46,NCA-Baja,Hard/Soft Mixed,Common,39,39,Black surfperch,Embiotoca jacksoni
,169758,Barred Surfperch,Perch,Home,,4,1,11,Barred Surfperch,Amphistichus argenteus,species,Perch,fish,,,,,,,,,
,169735,UI surfperch,Perch,Home,28,4,1,12,UI surfperch,Unidentified Embiotocidae,family,Perch,fish,,,,,,47,,UI surfperch,Embiotocidae
